State,1566592,1555722,1520862,34860,10870,232639,232499,221527,10972,140,664253,664250,655405,8845,3,669700,658973,643930,15043,10727,State
"Local, total",957270,954376,925409,28967,2894,914684,911790,883323,28467,2894,42586,42586,42086,500,0,0,0,0,0,0,"Local, total"
Municipalities,487858,487858,471436,16422,0,465621,465621,449199,16422,0,22237,22237,22237,0,0,0,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,,,,
Delaware,810799,810799,795009,15790,,320274,320274,307958,12316,0,208510,208510,206899,1611,0,282015,282015,280152,1863,0,Delaware
State,603644,600739,589703,11036,2905,126436,126436,118869,7567,0,195193,192288,190682,1606,2905,282015,282015,280152,1863,0,State
"Local, total",210308,210060,205306,4754,248,194086,193838,189089,4749,248,16222,16222,16217,5,0,0,0,0,0,0,"Local, total"
Counties,83690,83690,82985,705,0,74089,74089,73384,705,0,9601,9601,9601,0,0,0,0,0,0,0,Counties
Municipalities,126370,126370,122321,4049,0,119749,119749,115705,4044,0,6621,6621,6616,5,0,0,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,,,,
District of Columbia,925602,925602,867954,57648,,559765,559765,526197,33568,0,114838,114838,112828,2010,0,250999,250999,228929,22070,0,District of Columbia
"Local, total",925602,925602,867954,57648,0,559765,559765,526197,33568,0,114838,114838,112828,2010,0,250999,250999,228929,22070,0,"Local, total"
Municipality,925602,925602,867954,57648,0,559765,559765,526197,33568,0,114838,114838,112828,2010,0,250999,250999,228929,22070,0,Municipality
,,,,,,,,,,,,,,,,,,,,,
Florida,13335850,13335850,12934897,400953,,7225013,7225013,6922467,302546,0,2193448,2193448,2135246,58202,0,3917389,3917389,3877184,40205,0,Florida
State,4383888,3931037,3876237,54800,452851,514377,513947,474899,39048,430,1723693,1271272,1262308,8964,452421,2145818,2145818,2139030,6788,0,State
"Local, total",9405322,9404813,9058660,346153,509,6711066,6711066,6447568,263498,0,922685,922176,872938,49238,509,1771571,1771571,1738154,33417,0,"Local, total"
Counties,6486925,6035813,5780926,254887,451112,3512454,3512454,3339158,173296,0,1257047,805935,757761,48174,451112,1717424,1717424,1684007,33417,0,Counties
Municipalities,3371202,3368954,3277688,91266,2248,3198996,3198566,3108364,90202,430,118059,116241,115177,1064,1818,54147,54147,54147,0,0,Municipalities
,,,,,,,,,,,,,,,,,,,,,
Georgia,5737287,5737287,5404797,332490,,2371785,2371785,2227733,144052,0,1085228,1085228,1072701,12527,0,2280274,2280274,2104363,175911,0,Georgia
State,2102780,2038549,1945781,92768,64231,319687,302361,278465,23896,17326,295641,285109,284853,256,10532,1487452,1451079,1382463,68616,36373,State
"Local, total",3699315,3698738,3459016,239722,577,2069770,2069424,1949268,120156,346,800119,800119,787848,12271,0,829426,829195,721900,107295,231,"Local, total"
Counties,2520877,2510398,2346582,163816,10479,1096020,1095730,1047799,47931,290,690861,690861,679571,11290,0,733996,723807,619212,104595,10189,Counties
Municipalities,1231553,1188340,1112434,75906,43213,991076,973694,901469,72225,17382,109258,109258,108277,981,0,131219,105388,102688,2700,25831,Municipalities
,,,,,,,,,,,,,,,,,,,,,
Hawaii,851500,851500,830651,20849,,387914,387914,374512,13402,0,262602,262602,255657,6945,0,200984,200984,200482,502,0,Hawaii
State,458072,451249,441841,9408,6823,34307,33877,31694,2183,430,222781,216388,209665,6723,6393,200984,200984,200482,502,0,State
"Local, total",400251,400251,388810,11441,0,354037,354037,342818,11219,0,46214,46214,45992,222,0,0,0,0,0,0,"Local, total"
Counties,141017,141017,137319,3698,0,118530,118530,114966,3564,0,22487,22487,22353,134,0,0,0,0,0,0,Counties
Municipalities,259234,259234,251491,7743,0,235507,235507,227852,7655,0,23727,23727,23639,88,0,0,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,,,,
Idaho,922803,922803,899760,23043,,403687,403687,391501,12186,0,203127,203127,200607,2520,0,315989,315989,307652,8337,0,Idaho
State,389878,378283,365206,13077,11595,54577,51447,47686,3761,3130,84141,84131,82238,1893,10,251160,242705,235282,7423,8455,State
"Local, total",544525,544520,534554,9966,5,352245,352240,343815,8425,5,118996,118996,118369,627,0,73284,73284,72370,914,0,"Local, total"
Counties,345588,336204,328506,7698,9384,161906,160978,154821,6157,928,101943,101942,101315,627,1,81739,73284,72370,914,8455,Counties
Municipalities,210527,208316,206048,2268,2211,193464,191262,188994,2268,2202,17063,17054,17054,0,9,0,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,,,,
Illinois,8384596,8384596,8183047,201549,,4913420,4913420,4746340,167080,0,1452899,1452899,1445427,7472,0,2018277,2018277,1991280,26997,0,Illinois
State,2208037,2109163,2066960,42203,98874,467598,428929,412762,16167,38669,413263,353058,349963,3095,60205,1327176,1327176,1304235,22941,0,State
"Local, total",6275436,6275433,6116087,159346,3,4484494,4484491,4333578,150913,3,1099841,1099841,1095464,4377,0,691101,691101,687045,4056,0,"Local, total"
Counties,2331903,2331903,2277748,54155,0,619827,619827,574105,45722,0,1020975,1020975,1016598,4377,0,691101,691101,687045,4056,0,Counties
Municipalities,3942543,3942543,3837414,105129,0,3863677,3863677,3758548,105129,0,78866,78866,78866,0,0,0,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,,,,
Indiana,2681508,2681508,2633492,48016,,1179826,1179826,1159159,20667,0,505120,505120,503035,2085,0,996562,996562,971298,25264,0,Indiana
State,1101516,1023400,1001208,22192,78116,237564,225987,215149,10838,11577,175669,152158,151474,684,23511,688283,645255,634585,10670,43028,State
"Local, total",1658108,1658108,1632284,25824,0,953839,953839,944010,9829,0,352962,352962,351561,1401,0,351307,351307,336713,14594,0,"Local, total"
Counties,690600,685825,680583,5242,4775,206632,205950,204001,1949,682,244364,240271,239506,765,4093,239604,239604,237076,2528,0,Counties
Municipalities,1000085,969772,949190,20582,30313,758784,747889,740009,7880,10895,129598,110180,109544,636,19418,111703,111703,99637,12066,0,Municipalities
,,,,,,,,,,,,,,,,,,,,,
Iowa,1517771,1517771,1431173,86598,,692631,692631,677695,14936,0,347273,347273,342881,4392,0,477867,477867,410597,67270,0,Iowa
State,699196,672186,600455,71731,27010,96322,90823,86625,4198,5499,267981,247911,243569,4342,20070,334893,333452,270261,63191,1441,State
"Local, total",845585,845585,830718,14867,0,601808,601808,591070,10738,0,99362,99362,99312,50,0,144415,144415,140336,4079,0,"Local, total"
Counties,397157,396971,394470,2501,186,173568,173568,171163,2405,0,83766,83766,83717,49,0,139823,139637,139590,47,186,Counties
Municipalities,451336,444582,436248,8334,6754,433739,428240,419907,8333,5499,15596,15596,15595,1,0,2001,746,746,0,1255,Municipalities
,,,,,,,,,,,,,,,,,,,,,
Kansas,1626439,1626439,1582271,44168,,800099,800099,769356,30743,0,310264,310264,308177,2087,0,516076,516076,504738,11338,0,Kansas
State,619693,568114,546831,21283,51579,105054,99097,86114,12983,5957,167599,167412,167054,358,187,347040,301605,293663,7942,45435,State
"Local, total",1058325,1058325,1035440,22885,0,701002,701002,683242,17760,0,142852,142852,141123,1729,0,214471,214471,211075,3396,0,"Local, total"
Counties,561549,561549,546048,15501,0,276454,276454,265179,11275,0,91644,91644,90804,840,0,193451,193451,190065,3386,0,Counties
Municipalities,502637,496680,489392,7288,5957,430409,424452,418063,6389,5957,51208,51208,50319,889,0,21020,21020,21010,10,0,Municipalities
,,,,,,,,,,,,,,,,,,,,,
Kentucky,1964149,1964149,1910510,53639,,695082,695082,666835,28247,0,518294,518294,501814,16480,0,750773,750773,741861,8912,0,Kentucky
State,1220423,1145588,1122267,23321,74835,197374,171293,164265,7028,26081,490915,461775,448412,13363,29140,532134,512520,509590,2930,19614,State
"Local, total",818578,818561,788243,30318,17,523789,523789,502570,21219,0,56536,56519,53402,3117,17,238253,238253,232271,5982,0,"Local, total"
Counties,443010,369395,354919,14476,73615,183339,157258,151305,5953,26081,75655,46515,43398,3117,29140,184016,165622,160216,5406,18394,Counties
Municipalities,449160,449160,433318,15842,0,366531,366531,351265,15266,0,10004,10004,10004,0,0,72625,72625,72049,576,0,Municipalities
,,,,,,,,,,,,,,,,,,,,,
Louisiana,3676108,3676108,3443446,232662,,1543080,1543080,1482077,61003,0,795650,795650,774859,20791,0,1337378,1337378,1186510,150868,0,Louisiana
State,1389634,1134741,1128442,6299,254893,356701,280167,278665,1502,76534,331637,328747,328117,630,2890,701296,525827,521660,4167,175469,State
"Local, total",2562050,2541367,2315004,226363,20683,1262920,1262913,1203412,59501,7,487570,466903,446742,20161,20667,811560,811551,664850,146701,9,"Local, total"
Parishes,1461740,1319732,1211329,108403,142008,552905,543364,515481,27883,9541,290755,275177,257920,17257,15578,618080,501191,437928,63263,116889,Parishes
Municipalities,1271439,1140708,1022748,117960,130731,786549,719549,687931,31618,67000,199705,191726,188822,2904,7979,285185,229433,145995,83438,55752,Municipalities
,,,,,,,,,,,,,,,,,,,,,
Maine,535032,535032,522512,12520,,251846,251846,241875,9971,0,93638,93638,92907,731,0,189548,189548,187730,1818,0,Maine
State,289681,269052,265767,3285,20629,75602,70137,68731,1406,5465,77268,77268,76716,552,0,136811,121647,120320,1327,15164,State
"Local, total",267057,265980,256745,9235,1077,181896,181709,173144,8565,187,16370,16370,16191,179,0,68791,67901,67410,491,890,"Local, total"
Counties,126697,110456,108671,1785,16241,32321,32134,31019,1115,187,10421,10421,10242,179,0,83955,67901,67410,491,16054,Counties
Municipalities,69873,69873,68492,1381,0,67567,67567,66186,1381,0,2306,2306,2306,0,0,0,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,,,,
Maryland,4896956,4896956,4823848,73108,,2311135,2311135,2281136,29999,0,817595,817595,810472,7123,0,1768226,1768226,1732240,35986,0,Maryland
State,2475138,2392229,2339609,52620,82909,550989,479296,468566,10730,71693,527842,523116,516380,6736,4726,1396307,1389817,1354663,35154,6490,State
"Local, total",2504727,2504727,2484239,20488,0,1831839,1831839,1812570,19269,0,294479,294479,294092,387,0,378409,378409,377577,832,0,"Local, total"
Counties,1772775,1772775,1760445,12330,0,1162147,1162147,1151035,11112,0,232219,232219,231833,386,0,378409,378409,377577,832,0,Counties
Municipalities,731952,731952,723794,8158,0,669692,669692,661535,8157,0,62260,62260,62259,1,0,0,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,,,,
Massachusetts,4283102,4283102,4168893,114209,,2214818,2214818,2153469,61349,0,972426,972426,953849,18577,0,1095858,1095858,1061575,34283,0,Massachusetts
State,2843659,2739780,2661213,78567,103879,829770,728002,702138,25864,101768,918031,915920,897500,18420,2111,1095858,1095858,1061575,34283,0,State
"Local, total",1543322,1543322,1507680,35642,0,1486816,1486816,1451331,35485,0,56506,56506,56349,157,0,0,0,0,0,0,"Local, total"
Counties,606,606,606,0,0,0,0,0,0,0,606,606,606,0,0,0,0,0,0,0,Counties
Municipalities,901657,901657,886214,15443,0,873809,873809,858520,15289,0,27848,27848,27694,154,0,0,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,,,,
Michigan,6197473,6197473,6034821,162652,,2527660,2527660,2452070,75590,0,1158534,1158534,1153026,5508,0,2511279,2511279,2429725,81554,0,Michigan
State,2559219,2395403,2390672,4731,163816,401026,371309,367838,3471,29717,300685,201027,200665,362,99658,1857508,1823067,1822169,898,34441,State
"Local, total",3812696,3802070,3644149,157921,10626,2156411,2156351,2084232,72119,60,962622,957507,952361,5146,5115,693663,688212,607556,80656,5451,"Local, total"
Counties,2070670,1958344,1863523,94821,112326,473262,471160,461103,10057,2102,904994,800221,796113,4108,104773,692414,686963,606307,80656,5451,Counties
Municipalities,1600096,1574584,1519222,55362,25512,1440067,1429579,1375193,54386,10488,143756,143756,142780,976,0,16273,1249,1249,0,15024,Municipalities
,,,,,,,,,,,,,,,,,,,,,
Minnesota,3214105,3214105,3121458,92647,,1670191,1670191,1595777,74414,0,667576,667576,665918,1658,0,876338,876338,859763,16575,0,Minnesota
State,1309172,1134555,1112990,21565,174617,382588,288916,280704,8212,93672,411625,395493,394598,895,16132,514959,450146,437688,12458,64813,State
"Local, total",2083757,2079550,2008468,71082,4207,1383015,1381275,1315073,66202,1740,272951,272083,271320,763,868,427791,426192,422075,4117,1599,"Local, total"
Counties,1302403,1190518,1152677,37841,111885,558873,528745,495778,32967,30128,252793,236039,235281,758,16754,490737,425734,421618,4116,65003,Counties
Municipalities,952485,885546,852305,33241,66939,914328,849044,815809,33235,65284,36290,36044,36039,5,246,1867,458,457,1,1409,Municipalities
,,,,,,,,,,,,,,,,,,,,,
Mississippi,1450174,1450174,1393447,56727,,673415,673415,657811,15604,0,252418,252418,249790,2628,0,524341,524341,485846,38495,0,Mississippi
State,611722,543941,538509,5432,67781,112169,106389,103556,2833,5780,123098,113186,112470,716,9912,376455,324366,322483,1883,52089,State
"Local, total",906238,906233,854938,51295,5,567031,567026,554255,12771,5,139232,139232,137320,1912,0,199975,199975,163363,36612,0,"Local, total"
Counties,536004,535512,496172,39340,492,228368,227876,226972,904,492,109733,109733,107909,1824,0,197903,197903,161291,36612,0,Counties
Municipalities,428098,370721,358766,11955,57377,344438,339150,327283,11867,5288,29499,29499,29411,88,0,54161,2072,2072,0,52089,Municipalities
,,,,,,,,,,,,,,,,,,,,,
Missouri,3115199,3115199,3007843,107356,,1712138,1712138,1625457,86681,0,519626,519626,509901,9725,0,883435,883435,872485,10950,0,Missouri
State,1201628,1155337,1102076,53261,46291,214524,214524,179203,35321,0,250659,242428,234634,7794,8231,736445,698385,688239,10146,38060,State
"Local, total",1959930,1959862,1905767,54095,68,1497658,1497614,1446254,51360,44,277222,277198,275267,1931,24,185050,185050,184246,804,0,"Local, total"
Counties,641694,641694,623236,18458,0,364714,364714,347952,16762,0,161330,161330,159744,1586,0,115650,115650,115540,110,0,Counties
Municipalities,1355587,1317483,1282531,34952,38104,1132944,1132900,1098302,34598,44,115868,115868,115523,345,0,106775,68715,68706,9,38060,Municipalities
,,,,,,,,,,,,,,,,,,,,,
Montana,669319,669319,640636,28683,,283090,283090,266110,16980,0,145753,145753,143937,1816,0,240476,240476,230589,9887,0,Montana
State,337088,329635,323283,6352,7453,51138,46527,43611,2916,4611,94800,91958,90511,1447,2842,191150,191150,189161,1989,0,State
"Local, total",339684,339684,317353,22331,0,236563,236563,222499,14064,0,53795,53795,53426,369,0,49326,49326,41428,7898,0,"Local, total"
Counties,219515,216032,197219,18813,3483,132374,128891,118198,10693,3483,40978,40978,40756,222,0,46163,46163,38265,7898,0,Counties
Municipalities,124744,123616,120134,3482,1128,108800,107672,104301,3371,1128,12781,12781,12670,111,0,3163,3163,3163,0,0,Municipalities
,,,,,,,,,,,,,,,,,,,,,
Nebraska,915764,915764,893542,22222,,392619,392619,376880,15739,0,158945,158945,156532,2413,0,364200,364200,360130,4070,0,Nebraska
State,399549,383003,377901,5102,16546,86623,70077,66616,3461,16546,66407,66407,66366,41,0,246519,246519,244919,1600,0,State
"Local, total",532919,532761,515641,17120,158,322542,322542,310264,12278,0,92538,92538,90166,2372,0,117839,117681,115211,2470,158,"Local, total"
Counties,302348,302334,295698,6636,14,96116,96116,94317,1799,0,88537,88537,86170,2367,0,117695,117681,115211,2470,14,Counties
Municipalities,247117,230427,219943,10484,16690,242972,226426,215947,10479,16546,4001,4001,3996,5,0,144,0,0,0,144,Municipalities
,,,,,,,,,,,,,,,,,,,,,
Nevada,2244898,2244898,2174863,70035,,1092375,1092375,1051279,41096,0,463743,463743,449561,14182,0,688780,688780,674023,14757,0,Nevada
State,469834,450583,432551,18032,19251,101604,94442,89602,4840,7162,84312,78556,77929,627,5756,283918,277585,265020,12565,6333,State
"Local, total",1795560,1794315,1742312,52003,1245,997933,997933,961677,36256,0,385187,385187,371632,13555,0,412440,411195,409003,2192,1245,"Local, total"
Counties,1354946,1353701,1306686,47015,1245,727791,727791,696032,31759,0,308208,308208,295079,13129,0,318947,317702,315575,2127,1245,Counties
Municipalities,447776,440614,435626,4988,7162,277304,270142,265645,4497,7162,76979,76979,76553,426,0,93493,93493,93428,65,0,Municipalities
,,,,,,,,,,,,,,,,,,,,,
New Hampshire,688297,688297,680153,8144,,366971,366971,362875,4096,0,137559,137559,135494,2065,0,183767,183767,181784,1983,0,New Hampshire
State,277428,277379,270780,6599,49,56132,56104,53464,2640,28,108874,108853,106788,2065,21,112422,112422,110528,1894,0,State
"Local, total",411770,410918,409373,1545,852,311604,310867,309411,1456,737,28821,28706,28706,0,115,71345,71345,71256,89,0,"Local, total"
Counties,110511,110396,110254,142,115,22066,22066,22013,53,0,17100,16985,16985,0,115,71345,71345,71256,89,0,Counties
Municipalities,112427,112427,111753,674,0,108674,108674,108000,674,0,3753,3753,3753,0,0,0,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,,,,
New Jersey,6948503,6948503,6846462,102041,,3369028,3369028,3321130,47898,0,1475259,1475259,1465692,9567,0,2104216,2104216,2059640,44576,0,New Jersey
State,3161459,2823908,2778330,45578,337551,818347,527771,507772,19999,290576,906628,903707,894268,9439,2921,1436484,1392430,1376290,16140,44054,State
"Local, total",4124855,4124595,4068132,56463,260,2841517,2841257,2813358,27899,260,571552,571552,571424,128,0,711786,711786,683350,28436,0,"Local, total"
Counties,1415697,1371654,1333037,38617,44043,327918,327918,317848,10070,0,331956,331956,331845,111,0,755823,711780,683344,28436,44043,Counties
Municipalities,1886376,1606314,1599026,7288,280062,1746745,1466683,1459406,7277,280062,139626,139626,139615,11,0,5,5,5,0,0,Municipalities
,,,,,,,,,,,,,,,,,,,,,
New Mexico,1600657,1600657,1533659,66998,,653126,653126,625543,27583,0,329138,329138,299143,29995,0,618393,618393,608973,9420,0,New Mexico
State,805034,780596,772903,7693,24438,134511,113557,111380,2177,20954,269576,269506,266878,2628,70,400947,397533,394645,2888,3414,State
"Local, total",820946,820061,760756,59305,885,539925,539569,514163,25406,356,60011,59632,32265,27367,379,221010,220860,214328,6532,150,"Local, total"
Counties,449309,434002,381109,52893,15307,194050,178971,159598,19373,15079,37050,36972,9942,27030,78,218209,218059,211569,6490,150,Counties
Municipalities,396075,386059,379647,6412,10016,366829,360598,354565,6033,6231,23031,22660,22323,337,371,6215,2801,2759,42,3414,Municipalities
,,,,,,,,,,,,,,,,,,,,,
New York,19646642,19646642,18442914,1203728,,9332470,9332470,8754374,578096,0,3967699,3967699,3737943,229756,0,6346473,6346473,5950597,395876,0,New York
State,7107409,6553778,6171851,381927,553631,995306,813224,750782,62442,182082,2673876,2480250,2372250,108000,193626,3438227,3260304,3048819,211485,177923,State
"Local, total",13195845,13092864,12271063,821801,102981,8519246,8519246,8003592,515654,0,1487449,1487449,1365693,121756,0,3189150,3086169,2901778,184391,102981,"Local, total"
Counties,3856034,3814590,3725970,88620,41444,1821849,1821849,1780437,41412,0,515300,515300,513507,1793,0,1518885,1477441,1432026,45415,41444,Counties
Municipalities,8635466,8573929,7862304,711625,61537,6150948,6150948,5696904,454044,0,815155,815155,696550,118605,0,1669363,1607826,1468850,138976,61537,Municipalities
,,,,,,,,,,,,,,,,,,,,,
North Carolina,5503187,5503187,5127799,375388,,3026327,3026327,2772744,253583,0,743478,743478,696610,46868,0,1733382,1733382,1658445,74937,0,North Carolina
State,2544200,2491860,2403249,88611,52340,703083,653640,619370,34270,49443,630799,628338,619219,9119,2461,1210318,1209882,1164660,45222,436,State
"Local, total",3015539,3011327,2724550,286777,4212,2375168,2372687,2153374,219313,2481,115254,115140,77391,37749,114,525117,523500,493785,29715,1617,"Local, total"
Counties,1681470,1637285,1434135,203150,44185,1064754,1022736,887019,135717,42018,91796,91682,53964,37718,114,524920,522867,493152,29715,2053,Counties
Municipalities,1383948,1374042,1290415,83627,9906,1359857,1349951,1266355,83596,9906,23458,23458,23427,31,0,633,633,633,0,0,Municipalities
,,,,,,,,,,,,,,,,,,,,,
North Dakota,396394,396394,366351,30043,,175384,175384,166792,8592,0,88905,88905,87235,1670,0,132105,132105,112324,19781,0,North Dakota
State,201366,199039,175017,24022,2327,35210,34151,29934,4217,1059,69473,68746,67133,1613,727,96683,96142,77950,18192,541,State
"Local, total",197494,197355,191334,6021,139,141236,141233,136858,4375,3,20267,20159,20102,57,108,35991,35963,34374,1589,28,"Local, total"
Counties,106718,105995,101798,4197,723,55359,55313,52758,2555,46,15181,15073,15020,53,108,36178,35609,34020,1589,569,Counties
Municipalities,93091,91348,89524,1824,1743,86936,85920,84100,1820,1016,5801,5074,5070,4,727,354,354,354,0,0,Municipalities
,,,,,,,,,,,,,,,,,,,,,
Ohio,6780617,6780617,6572157,208460,,3237516,3237516,3108298,129218,0,1703521,1703521,1673630,29891,0,1839580,1839580,1790229,49351,0,Ohio
State,2273860,2016968,1941506,75462,256892,318780,304634,282980,21654,14146,411449,348626,339990,8636,62823,1543631,1363708,1318536,45172,179923,State
