Bureau of Justice Statistics,,,,,,,,,,
State,-,15764288,672186,4.3,90823,13.5,247911,36.9,333452,49.6
"Local, total",-,15869041,845585,5.3,601808,71.2,99362,11.8,144415,17.1
Counties,-,2997914,396971,13.2,173568,43.7,83766,21.1,139637,35.2
Municipalities,-,5676345,444582,7.8,428240,96.3,15596,3.5,746,0.2
,,,,,,,,,,
Kansas,2893,26243163,1626439,6.2,800099,49.2,310264,19.1,516076,31.7
State,-,12379202,568114,4.6,99097,17.4,167412,29.5,301605,53.1
"Local, total",-,13863961,1058325,7.6,701002,66.2,142852,13.5,214471,20.3
Counties,-,2805155,561549,20,276454,49.2,91644,16.3,193451,34.4
Municipalities,-,4196283,496680,11.8,424452,85.5,51208,10.3,21020,4.2
,,,,,,,,,,
Kentucky,4400,38534786,1964149,5.1,695082,35.4,518294,26.4,750773,38.2
State,-,24085092,1145588,4.8,171293,15,461775,40.3,512520,44.7
"Local, total",-,14449694,818561,5.7,523789,64,56519,6.9,238253,29.1
Counties,-,2443465,369395,15.1,157258,42.6,46515,12.6,165622,44.8
Municipalities,-,4173676,449160,10.8,366531,81.6,10004,2.2,72625,16.2
,,,,,,,,,,
Louisiana,4626,47793791,3676108,7.7,1543080,42,795650,21.6,1337378,36.4
State,-,25949912,1134741,4.4,280167,24.7,328747,29,525827,46.3
"Local, total",-,21843879,2541367,11.6,1262913,49.7,466903,18.4,811551,31.9
Parishes,-,6555229,1319732,20.1,543364,41.2,275177,20.9,501191,38
Municipalities,-,6493825,1140708,17.6,719549,63.1,191726,16.8,229433,20.1
,,,,,,,,,,
Maine,1329,12306058,535032,4.3,251846,47.1,93638,17.5,189548,35.4
State,-,7711789,269052,3.5,70137,26.1,77268,28.7,121647,45.2
"Local, total",-,4594269,265980,5.8,181709,68.3,16370,6.2,67901,25.5
Counties,-,178244,110456,62,32134,29.1,10421,9.4,67901,61.5
Municipalities,-,1256911,69873,5.6,67567,96.7,2306,3.3,0,0
,,,,,,,,,,
Maryland,5931,60775800,4896956,8.1,2311135,47.2,817595,16.7,1768226,36.1
State,-,30952870,2392229,7.7,479296,20,523116,21.9,1389817,58.1
"Local, total",-,29822930,2504727,8.4,1831839,73.1,294479,11.8,378409,15.1
Counties,-,23150339,1772775,7.7,1162147,65.6,232219,13.1,378409,21.3
Municipalities,-,5035751,731952,14.5,669692,91.5,62260,8.5,0,0
,,,,,,,,,,
Massachusetts,6707,79791427,4283102,5.4,2214818,51.7,972426,22.7,1095858,25.6
State,-,47365673,2739780,5.8,728002,26.6,915920,33.4,1095858,40
"Local, total",-,32425754,1543322,4.8,1486816,96.3,56506,3.7,0,0
Counties,-,140522,606,0.4,0,0,606,100,0,0
Municipalities,-,13676490,901657,6.6,873809,96.9,27848,3.1,0,0
,,,,,,,,,,
Michigan,9899,88837980,6197473,7,2527660,40.8,1158534,18.7,2511279,40.5
State,-,43555522,2395403,5.5,371309,15.5,201027,8.4,1823067,76.1
"Local, total",-,45282458,3802070,8.4,2156351,56.7,957507,25.2,688212,18.1
Counties,-,10422858,1958344,18.8,471160,24.1,800221,40.9,686963,35.1
Municipalities,-,10280516,1574584,15.3,1429579,90.8,143756,9.1,1249,0.1
,,,,,,,,,,
Minnesota,5419,55919044,3214105,5.7,1670191,52,667576,20.8,876338,27.3
State,-,26974215,1134555,4.2,288916,25.5,395493,34.9,450146,39.7
"Local, total",-,28944829,2079550,7.2,1381275,66.4,272083,13.1,426192,20.5
Counties,-,7057341,1190518,16.9,528745,44.4,236039,19.8,425734,35.8
Municipalities,-,8773913,885546,10.1,849044,95.9,36044,4.1,458,0.1
,,,,,,,,,,
Mississippi,2990,27539726,1450174,5.3,673415,46.4,252418,17.4,524341,36.2
State,-,15048856,543941,3.6,106389,19.6,113186,20.8,324366,59.6
"Local, total",-,12490870,906233,7.3,567026,62.6,139232,15.4,199975,22.1
Counties,-,3573410,535512,15,227876,42.6,109733,20.5,197903,37
Municipalities,-,3227185,370721,11.5,339150,91.5,29499,8,2072,0.6
,,,,,,,,,,
Missouri,6043,50646846,3115199,6.2,1712138,55,519626,16.7,883435,28.4
State,-,24678708,1155337,4.7,214524,18.6,242428,21,698385,60.4
"Local, total",-,25968138,1959862,7.5,1497614,76.4,277198,14.1,185050,9.4
Counties,-,2644912,641694,24.3,364714,56.8,161330,25.1,115650,18
Municipalities,-,8725626,1317483,15.1,1132900,86,115868,8.8,68715,5.2
,,,,,,,,,,
Montana,1014,9388688,669319,7.1,283090,42.3,145753,21.8,240476,35.9
State,-,5700471,329635,5.8,46527,14.1,91958,27.9,191150,58
"Local, total",-,3688217,339684,9.2,236563,69.6,53795,15.8,49326,14.5
Counties,-,845294,216032,25.6,128891,59.7,40978,19,46163,21.4
Municipalities,-,812330,123616,15.2,107672,87.1,12781,10.3,3163,2.6
,,,,,,,,,,
Nebraska,1869,20431045,915764,4.5,392619,42.9,158945,17.4,364200,39.8
State,-,7710207,383003,5,70077,18.3,66407,17.3,246519,64.4
"Local, total",-,12720838,532761,4.2,322542,60.5,92538,17.4,117681,22.1
Counties,-,1587230,302334,19,96116,31.8,88537,29.3,117681,38.9
Municipalities,-,2597266,230427,8.9,226426,98.3,4001,1.7,0,0
,,,,,,,,,,
Nevada,2786,22077120,2244898,10.2,1092375,48.7,463743,20.7,688780,30.7
State,-,9059226,450583,5,94442,21,78556,17.4,277585,61.6
"Local, total",-,13017894,1794315,13.8,997933,55.6,385187,21.5,411195,22.9
Counties,-,5996630,1353701,22.6,727791,53.8,308208,22.8,317702,23.5
Municipalities,-,2073340,440614,21.3,270142,61.3,76979,17.5,93493,21.2
,,,,,,,,,,
New Hampshire,1323,11326376,688297,6.1,366971,53.3,137559,20,183767,26.7
State,-,6119650,277379,4.5,56104,20.2,108853,39.2,112422,40.5
"Local, total",-,5206726,410918,7.9,310867,75.7,28706,7,71345,17.4
Counties,-,389838,110396,28.3,22066,20,16985,15.4,71345,64.6
Municipalities,-,1445412,112427,7.8,108674,96.7,3753,3.3,0,0
,,,,,,,,,,
New Jersey,8899,102730875,6948503,6.8,3369028,48.5,1475259,21.2,2104216,30.3
State,-,56260341,2823908,5,527771,18.7,903707,32,1392430,49.3
"Local, total",-,46470534,4124595,8.9,2841257,68.9,571552,13.9,711786,17.3
Counties,-,9713532,1371654,14.1,327918,23.9,331956,24.2,711780,51.9
Municipalities,-,9748730,1606314,16.5,1466683,91.3,139626,8.7,5,0
,,,,,,,,,,
New Mexico,2085,21077874,1600657,7.6,653126,40.8,329138,20.6,618393,38.6
State,-,12699840,780596,6.1,113557,14.5,269506,34.5,397533,50.9
"Local, total",-,8378034,820061,9.8,539569,65.8,59632,7.3,220860,26.9
Counties,-,1541752,434002,28.1,178971,41.2,36972,8.5,218059,50.2
Municipalities,-,2760758,386059,14,360598,93.4,22660,5.9,2801,0.7
,,,,,,,,,,
New York,19674,307028190,19646642,6.4,9332470,47.5,3967699,20.2,6346473,32.3
State,-,127257913,6553778,5.1,813224,12.4,2480250,37.8,3260304,49.7
"Local, total",-,179770277,13092864,7.3,8519246,65.1,1487449,11.4,3086169,23.6
Counties,-,23526641,3814590,16.2,1821849,47.8,515300,13.5,1477441,38.7
Municipalities,-,97567437,8573929,8.8,6150948,71.7,815155,9.5,1607826,18.8
,,,,,,,,,,
North Carolina,9842,84985295,5503187,6.5,3026327,55,743478,13.5,1733382,31.5
State,-,40453222,2491860,6.2,653640,26.2,628338,25.2,1209882,48.6
"Local, total",-,44532073,3011327,6.8,2372687,78.8,115140,3.8,523500,17.4
Counties,-,27151638,1637285,6,1022736,62.5,91682,5.6,522867,31.9
Municipalities,-,9856746,1374042,13.9,1349951,98.2,23458,1.7,633,0
,,,,,,,,,,
North Dakota,724,8380706,396394,4.7,175384,44.2,88905,22.4,132105,33.3
State,-,4777337,199039,4.2,34151,17.2,68746,34.5,96142,48.3
"Local, total",-,3603369,197355,5.5,141233,71.6,20159,10.2,35963,18.2
Counties,-,741283,105995,14.3,55313,52.2,15073,14.2,35609,33.6
Municipalities,-,1043169,91348,8.8,85920,94.1,5074,5.6,354,0.4
,,,,,,,,,,
Ohio,11570,113012740,6780617,6,3237516,47.7,1703521,25.1,1839580,27.1
State,-,59779153,2016968,3.4,304634,15.1,348626,17.3,1363708,67.6
"Local, total",-,53233587,4763649,8.9,2932882,61.6,1354895,28.4,475872,10
Counties,-,11646078,2305054,19.8,833036,36.1,1036120,44.9,435898,18.9
Municipalities,-,12766545,2276790,17.8,1918912,84.3,317904,14,39974,1.8
,,,,,,,,,,
Oklahoma,3852,31957039,2030481,6.4,942464,46.4,363299,17.9,724718,35.7
State,-,18707163,1058749,5.7,227039,21.4,263208,24.9,568502,53.7
"Local, total",-,13249876,971732,7.3,715425,73.6,100091,10.3,156216,16.1
Counties,-,1639418,315898,19.3,109344,34.6,50809,16.1,155745,49.3
Municipalities,-,5150076,655834,12.7,606081,92.4,49282,7.5,471,0.1
,,,,,,,,,,
Oregon,3926,39877988,2773266,7,1145588,41.3,565258,20.4,1062420,38.3
State,-,21354747,1205919,5.6,175607,14.6,409919,34,620393,51.4
"Local, total",-,18523241,1567347,8.5,969981,61.9,155339,9.9,442027,28.2
Counties,-,3513130,884868,25.2,333155,37.7,112580,12.7,439133,49.6
Municipalities,-,4548469,682211,15,636826,93.3,42759,6.3,2626,0.4
,,,,,,,,,,
Pennsylvania,12781,130963209,8467212,6.5,3301030,39,1733167,20.5,3433015,40.5
State,-,68698329,3469590,5.1,877176,25.3,532922,15.4,2059492,59.4
"Local, total",-,62264880,4997622,8,2423854,48.5,1200245,24,1373523,27.5
Counties,-,9321291,2190848,23.5,244087,11.1,917155,41.9,1029606,47
Municipalities,-,10982809,2055521,18.7,1460705,71.1,250899,12.2,343917,16.7
,,,,,,,,,,
Rhode Island,1053,11410080,700699,6.1,364212,52,132929,19,203558,29.1
State,-,7018575,370146,5.3,71651,19.4,115607,31.2,182888,49.4
"Local, total",-,4391505,330553,7.5,292561,88.5,17322,5.2,20670,6.3
Municipalities,-,2147123,208660,9.7,178066,85.3,9924,4.8,20670,9.9
,,,,,,,,,,
South Carolina,4768,42398164,2123437,5,1089846,51.3,316482,14.9,717109,33.8
State,-,22791696,738931,3.2,157968,21.4,90832,12.3,490131,66.3
"Local, total",-,19606468,1384506,7.1,931878,67.3,225650,16.3,226978,16.4
Counties,-,4070759,928066,22.8,511498,55.1,191465,20.6,225103,24.3
Municipalities,-,2953672,456440,15.5,420380,92.1,34185,7.5,1875,0.4
,,,,,,,,,,
South Dakota,845,7079711,424175,6,175161,41.3,85659,20.2,163355,38.5
State,-,3736621,201644,5.4,35673,17.7,50563,25.1,115408,57.2
"Local, total",-,3343090,222531,6.7,139488,62.7,35096,15.8,47947,21.5
Counties,-,475178,131422,27.7,50938,38.8,33059,25.2,47425,36.1
Municipalities,-,1231892,91109,7.4,88550,97.2,2037,2.2,522,0.6
,,,,,,,,,,
Tennessee,6495,54895883,3481555,6.3,1765902,50.7,648385,18.6,1067268,30.7
State,-,23511638,1154412,4.9,226961,19.7,278600,24.1,648851,56.2
"Local, total",-,31384245,2327143,7.4,1538941,66.1,369785,15.9,418417,18
Counties,-,11875169,1106853,9.3,486945,44,263115,23.8,356793,32.2
Municipalities,-,16527784,1220290,7.4,1051996,86.2,106670,8.7,61624,5
,,,,,,,,,,
Texas,26474,221336511,14682865,6.6,6562724,44.7,2561770,17.4,5558371,37.9
State,-,96518714,5026413,5.2,799712,15.9,662449,13.2,3564252,70.9
"Local, total",-,124817797,9656452,7.7,5763012,59.7,1899321,19.7,1994119,20.7
Counties,-,19396775,4943758,25.5,1438953,29.1,1533692,31,1971113,39.9
Municipalities,-,35223691,4701123,13.3,4312488,91.7,365629,7.8,23006,0.5
,,,,,,,,,,
Utah,2903,25336352,1555819,6.1,668301,43,372528,23.9,514990,33.1
State,-,13753318,653498,4.8,142086,21.7,200852,30.7,310560,47.5
"Local, total",-,11583034,902321,7.8,526215,58.3,171676,19,204430,22.7
Counties,-,1847469,479508,26,162569,33.9,112509,23.5,204430,42.6
Municipalities,-,3214573,422813,13.2,363646,86,59167,14,0,0
,,,,,,,,,,
Vermont,627,7215027,397501,5.5,190461,47.9,71755,18.1,135285,34
State,-,4516590,290235,6.4,89587,30.9,65521,22.6,135127,46.6
"Local, total",-,2698437,107266,4,100874,94,6234,5.8,158,0.1
Counties,-,19338,17933,92.7,15020,83.8,2884,16.1,29,0.2
Municipalities,-,392585,41050,10.5,39221,95.5,1700,4.1,129,0.3
,,,,,,,,,,
Virginia,8263,73676373,5256966,7.1,2157610,41,838797,16,2260559,43
State,-,36358360,1980295,5.4,338864,17.1,430885,21.8,1210546,61.1
"Local, total",-,37318013,3276671,8.8,1818746,55.5,407912,12.4,1050013,32
Counties,-,20314939,1613442,7.9,992061,61.5,224581,13.9,396800,24.6
Municipalities,-,12708187,1378871,10.9,826685,60,183331,13.3,368855,26.8
,,,,,,,,,,
Washington,6968,73504567,4036238,5.5,1624999,40.3,864169,21.4,1547070,38.3
State,-,35469066,1358545,3.8,262804,19.3,140755,10.4,954986,70.3
"Local, total",-,38035501,2677693,7,1362195,50.9,723414,27,592084,22.1
Counties,-,6129075,1603832,26.2,494135,30.8,564289,35.2,545408,34
Municipalities,-,8502269,1067790,12.6,861989,80.7,159125,14.9,46676,4.4
,,,,,,,,,,
West Virginia,1853,16630149,940381,5.7,360496,38.3,231999,24.7,347886,37
State,-,10764620,544031,5.1,75101,13.8,171153,31.5,297777,54.7
"Local, total",-,5865529,396350,6.8,285395,72,60846,15.4,50109,12.6
Counties,-,911962,257900,28.3,153337,59.5,54454,21.1,50109,19.4
Municipalities,-,1274228,138450,10.9,132058,95.4,6392,4.6,0,0
,,,,,,,,,,
Wisconsin,5743,55670220,3869483,7,1800944,46.5,592677,15.3,1475862,38.1
State,-,27887557,1391873,5,117648,8.5,279432,20.1,994793,71.5
"Local, total",-,27782663,2477610,8.9,1683296,67.9,313245,12.6,481069,19.4
Counties,-,6447418,1234249,19.1,512158,41.5,246434,20,475657,38.5
Municipalities,-,7681416,1216571,15.8,1148815,94.4,62344,5.1,5412,0.4
,,,,,,,,,,
Wyoming,583,8768858,559158,6.4,227896,40.8,118262,21.2,213000,38.1
State,-,4077172,266995,6.5,50957,19.1,73707,27.6,142331,53.3
"Local, total",-,4691686,292163,6.2,176939,60.6,44555,15.3,70669,24.2
Counties,-,1121793,176171,15.7,72698,41.3,34068,19.3,69405,39.4
Municipalities,-,890758,115078,12.9,104241,90.6,10487,9.1,350,0.3
"Note: Local government data are estimates subject to variability. Population figures are from the United States Census Bureau, Table 1. Annual Estimates of the Resident Population for the United States, regions, states, and Puerto Rico: April 1, 2010 to July 1, 2016 (NST-EST2016-01), December 2016.",,,,,,,,,,
"a/Total direct expenditures include outlays of states and all types of local governments including independent school districts and special districts, which are not displayed separately.   The ""Local, total"" lines, which include these districts, will not equal the sum of the ""Counties"" and ""Municipalities"" lines.",,,,,,,,,,
b/Justice system expenditure of independent school districts (primarily for special police forces) are not available.,,,,,,,,,,
