Missouri,1201628,1155337,1102076,53261,46291,214524,214524,179203,35321,0,250659,242428,234634,7794,8231,736445,698385,688239,10146,4603,38060,Missouri
,,,,,,,,,,,,,,,,,,,,,,
Montana,337088,329635,323283,6352,7453,51138,46527,43611,2916,4611,94800,91958,90511,1447,2842,191150,191150,189161,1989,811,0,Montana
Nebraska,399549,383003,377901,5102,16546,86623,70077,66616,3461,16546,66407,66407,66366,41,0,246519,246519,244919,1600,1160,0,Nebraska
Nevada,469834,450583,432551,18032,19251,101604,94442,89602,4840,7162,84312,78556,77929,627,5756,283918,277585,265020,12565,10090,6333,Nevada
New Hampshire,277428,277379,270780,6599,49,56132,56104,53464,2640,28,108874,108853,106788,2065,21,112422,112422,110528,1894,1692,0,New Hampshire
New Jersey,3161459,2823908,2778330,45578,337551,818347,527771,507772,19999,290576,906628,903707,894268,9439,2921,1436484,1392430,1376290,16140,10497,44054,New Jersey
,,,,,,,,,,,,,,,,,,,,,,
New Mexico,805034,780596,772903,7693,24438,134511,113557,111380,2177,20954,269576,269506,266878,2628,70,400947,397533,394645,2888,1854,3414,New Mexico
New York,7107409,6553778,6171851,381927,553631,995306,813224,750782,62442,182082,2673876,2480250,2372250,108000,193626,3438227,3260304,3048819,211485,135354,177923,New York
North Carolina,2544200,2491860,2403249,88611,52340,703083,653640,619370,34270,49443,630799,628338,619219,9119,2461,1210318,1209882,1164660,45222,34665,436,North Carolina
North Dakota,201366,199039,175017,24022,2327,35210,34151,29934,4217,1059,69473,68746,67133,1613,727,96683,96142,77950,18192,15839,541,North Dakota
Ohio,2273860,2016968,1941506,75462,256892,318780,304634,282980,21654,14146,411449,348626,339990,8636,62823,1543631,1363708,1318536,45172,25511,179923,Ohio
,,,,,,,,,,,,,,,,,,,,,,
Oklahoma,1082396,1058749,1009931,48818,23647,233623,227039,201768,25271,6584,279633,263208,255956,7252,16425,569140,568502,552207,16295,4916,638,Oklahoma
Oregon,1346977,1205919,1170860,35059,141058,183495,175607,164344,11263,7888,432609,409919,403787,6132,22690,730873,620393,602729,17664,8090,110480,Oregon
Pennsylvania,3606380,3469590,3217008,252582,136790,911672,877176,848372,28804,34496,575106,532922,532922,0,42184,2119602,2059492,1835714,223778,212227,60110,Pennsylvania
Rhode Island,370199,370146,359194,10952,53,71704,71651,66722,4929,53,115607,115607,113298,2309,0,182888,182888,179174,3714,3209,0,Rhode Island
South Carolina,788307,738931,733827,5104,49376,183055,157968,156019,1949,25087,114625,90832,90498,334,23793,490627,490131,487310,2821,2778,496,South Carolina
,,,,,,,,,,,,,,,,,,,,,,
South Dakota,205983,201644,193982,7662,4339,38321,35673,33169,2504,2648,51127,50563,49312,1251,564,116535,115408,111501,3907,1849,1127,South Dakota
Tennessee,1406768,1154412,1135011,19401,252356,232868,226961,220207,6754,5907,284030,278600,270851,7749,5430,889870,648851,643953,4898,89,241019,Tennessee
Texas,5262958,5026413,4846471,179942,236545,799712,799712,706350,93362,0,761457,662449,656865,5584,99008,3701789,3564252,3483256,80996,13301,137537,Texas
Utah,660230,653498,642121,11377,6732,143594,142086,137266,4820,1508,206076,200852,198785,2067,5224,310560,310560,306070,4490,28,0,Utah
Vermont,291760,290235,282767,7468,1525,91112,89587,83062,6525,1525,65521,65521,65060,461,0,135127,135127,134645,482,7,0,Vermont
,,,,,,,,,,,,,,,,,,,,,,
Virginia,2816066,1980295,1919223,61072,835771,559409,338864,306701,32163,220545,549793,430885,423665,7220,118908,1706864,1210546,1188857,21689,4373,496318,Virginia
Washington,1471370,1358545,1279594,78951,112825,356847,262804,240431,22373,94043,159537,140755,138940,1815,18782,954986,954986,900223,54763,36242,0,Washington
West Virginia,546953,544031,522992,21039,2922,75101,75101,71247,3854,0,171159,171153,169288,1865,6,300693,297777,282457,15320,11956,2916,West Virginia
Wisconsin,1522970,1391873,1362246,29627,131097,122600,117648,117349,299,4952,309450,279432,278150,1282,30018,1090920,994793,966747,28046,21322,96127,Wisconsin
Wyoming,271895,266995,263857,3138,4900,50957,50957,50615,342,0,77701,73707,71901,1806,3994,143237,142331,141341,990,205,906,Wyoming
