"Oklahoma City, OK",6,182785,182785,182448,337,0,166083,166083,165790,293,0,16702,16702,16658,44,0,0,0,0,0,0,0,"Oklahoma City, OK"
"Omaha, NE",12,102078,93795,91840,1955,8283,94551,90208,88258,1950,4343,3587,3587,3582,5,0,3940,0,0,0,0,3940,"Omaha, NE"
"Philadelphia, PA",6,1211452,1211452,1192905,18547,0,649361,649361,634991,14370,0,218998,218998,218278,720,0,343093,343093,339636,3457,1056,0,"Philadelphia, PA"
,,,,,,,,,,,,,,,,,,,,,,,
"Phoenix, AZ",6,520927,508384,492280,16104,12543,461436,461436,445954,15482,0,46948,46948,46326,622,0,12543,0,0,0,0,12543,"Phoenix, AZ"
"Pittsburgh, PA",12,79572,79572,79572,0,0,79004,79004,79004,0,0,568,568,568,0,0,0,0,0,0,0,0,"Pittsburgh, PA"
"Portland, OR",6,184978,184978,176634,8344,0,176000,176000,167656,8344,0,8978,8978,8978,0,0,0,0,0,0,0,0,"Portland, OR"
"St. Louis, MO",6,369123,369123,369123,0,0,251046,251046,251046,0,0,51849,51849,51849,0,0,66228,66228,66228,0,0,0,"St. Louis, MO"
"San Antonio, TX",9,334680,334680,333761,919,0,312513,312513,311686,827,0,22167,22167,22075,92,0,0,0,0,0,0,0,"San Antonio, TX"
"San Diego, CA",6,346413,346413,345184,1229,0,311063,311063,309834,1229,0,35350,35350,35350,0,0,0,0,0,0,0,0,"San Diego, CA"
,,,,,,,,,,,,,,,,,,,,,,,
"San Francisco, CA",6,641517,641517,633437,8080,0,395548,395548,390826,4722,0,78739,78739,75762,2977,0,167230,167230,166849,381,316,0,"San Francisco, CA"
"San Jose, CA",6,215537,215537,212100,3437,0,215537,215537,212100,3437,0,0,0,0,0,0,0,0,0,0,0,0,"San Jose, CA"
"Seattle, WA",12,212993,198253,191938,6315,14740,171507,170288,163973,6315,1219,27966,27965,27965,0,1,13520,0,0,0,0,13520,"Seattle, WA"
"Toledo, OH",12,117192,106692,72345,34347,10500,96350,96350,64424,31926,0,10342,10342,7921,2421,0,10500,0,0,0,0,10500,"Toledo, OH"
"Tucson, AZ",6,121054,121054,121054,0,0,109988,109988,109988,0,0,11066,11066,11066,0,0,0,0,0,0,0,0,"Tucson, AZ"
"Tulsa, OK",6,95932,95932,91637,4295,0,89927,89927,85637,4290,0,6005,6005,6000,5,0,0,0,0,0,0,0,"Tulsa, OK"
"Washington, DC",9,925602,925602,867954,57648,0,559765,559765,526197,33568,0,114838,114838,112828,2010,0,250999,250999,228929,22070,17791,0,"Washington, DC"
"Note: Fiscal years end in months between July 2012 and June 2013, except for Washington, DC, whose fiscal year ended on September 30, 2013.",,,,,,,,,,,,,,,,,,,,,,,
