Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,
Filename: jeee13t05.csv,,,,,,,,,,,,,,,,,,
"Table 5. Justice system employment and percent distribution of full-time equivalent employment, by state and type of government, March 2013",,,,,,,,,,,,,,,,,,
"Report title: Justice Expenditure and Employment Extracts 2013 Final, NCJ 250327",,,,,,,,,,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,,,,,,,,,
"Author: Jennifer Bronson, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,
Date of version: 6/29/2018,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Table 5. Justice system employment and percent distribution of full-time equivalent employment, by state and type of government, March 2013",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Total justice system,,,,Police protection,,,,Judicial and legal,,,,Corrections,,,,
Georgia,513604,80034,68467,71420,13.9,28963,27323,28019,39.2,15384,13254,13975,19.6,35687,27890,29426,41.2,Georgia
State,130557,32481,24961,26324,20.2,3055,2997,3032,11.5,4003,3940,3961,15,25423,18024,19331,73.4,State
"Local, total",383047,47553,43506,45096,11.8,25908,24326,24987,55.4,11381,9314,10014,22.2,10264,9866,10095,22.4,"Local, total"
Counties,66235,31524,28537,29564,44.6,12693,11905,12177,41.2,9920,8099,8649,29.3,8911,8533,8738,29.6,Counties
Municipalities,46964,16021,14954,15393,32.8,13214,12441,12770,83,1457,1179,1279,8.3,1350,1334,1344,8.7,Municipalities
,,,,,,,,,,,,,,,,,,
Hawaii,72429,9345,9115,9176,12.7,3942,3775,3811,41.5,3059,3007,3028,33,2344,2333,2337,25.5,Hawaii
State,56810,4833,4780,4798,8.4,0,0,0,0,2489,2447,2461,51.3,2344,2333,2337,48.7,State
"Local, total",15619,4512,4335,4378,28,3942,3775,3811,87,570,560,567,13,0,0,0,0,"Local, total"
Counties,6248,1544,1453,1476,23.6,1292,1203,1225,83,252,250,251,17,0,0,0,0,Counties
Municipalities,9228,2969,2882,2908,31.5,2651,2572,2592,89.1,318,310,316,10.9,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
Idaho,80408,10200,9482,9776,12.2,4276,4021,4117,42.1,2166,1959,2045,20.9,3758,3502,3614,37,Idaho
State,22970,3008,2909,2954,12.9,489,472,480,16.2,525,469,487,16.5,1994,1968,1987,67.3,State
"Local, total",57438,7192,6573,6822,11.9,3787,3549,3637,53.3,1641,1490,1558,22.8,1764,1534,1627,23.8,"Local, total"
Counties,9179,4927,4427,4626,50.4,1653,1518,1565,33.8,1513,1378,1441,31.2,1761,1531,1620,35,Counties
Municipalities,8680,2267,2146,2190,25.2,2138,2034,2073,94.7,129,112,117,5.3,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
Illinois,633265,83129,74689,77769,12.3,45509,38178,40808,52.5,15891,15079,15391,19.8,21729,21432,21570,27.7,Illinois
State,127253,16771,16690,16728,13.1,3204,3186,3194,19.1,2630,2567,2597,15.5,10937,10937,10937,65.4,State
"Local, total",506012,66358,57999,61041,12.1,42305,34992,37614,61.6,13261,12512,12794,21,10792,10495,10633,17.4,"Local, total"
Counties,56534,29244,27034,27611,48.8,5971,4761,4967,18,12488,11786,12018,43.5,10785,10487,10626,38.5,Counties
Municipalities,116237,50017,43859,46200,39.7,49228,43121,45438,98.4,779,728,752,1.6,10,10,10,0,Municipalities
,,,,,,,,,,,,,,,,,,
Indiana,322620,37988,34374,35751,11.1,17138,15181,15768,44.1,8000,7069,7492,21,12850,12124,12491,34.9,Indiana
State,84101,9648,9590,9620,11.4,1900,1900,1900,19.8,1460,1403,1432,14.9,6288,6287,6288,65.4,State
"Local, total",238519,28340,24784,26131,11,15238,13281,13868,53.1,6540,5666,6060,23.2,6562,5837,6203,23.7,"Local, total"
Counties,43630,13887,11912,12727,29.2,3750,3159,3308,26,4740,4074,4389,34.5,5397,4679,5030,39.5,Counties
Municipalities,46801,13400,11814,12242,26.2,11524,10158,10519,85.9,750,537,598,4.9,1126,1119,1125,9.2,Municipalities
,,,,,,,,,,,,,,,,,,
Iowa,171386,15515,13888,14560,8.5,7547,6651,6917,47.5,3203,2964,3096,21.3,4765,4273,4547,31.2,Iowa
State,49833,6228,5921,6113,12.3,953,935,940,15.4,2242,2139,2204,36.1,3033,2847,2969,48.6,State
"Local, total",121553,9287,7967,8447,6.9,6594,5716,5977,70.8,961,825,892,10.6,1732,1426,1578,18.7,"Local, total"
Counties,24291,4940,4254,4524,18.6,2337,2086,2151,47.5,870,742,796,17.6,1733,1426,1577,34.9,Counties
Municipalities,22114,4380,3751,3938,17.8,4290,3668,3850,97.8,90,83,88,2.2,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
Kansas,200264,19914,18114,18660,9.3,9284,8438,8723,46.7,4240,3553,3726,20,6390,6123,6211,33.3,Kansas
State,49640,6683,6505,6583,13.3,1102,1045,1073,16.3,2173,2069,2111,32.1,3408,3391,3399,51.6,State
"Local, total",150624,13231,11609,12077,8,8182,7393,7650,63.3,2067,1484,1615,13.4,2982,2732,2812,23.3,"Local, total"
Counties,22431,6586,5905,6102,27.2,2413,2221,2277,37.3,1183,940,1004,16.5,2990,2744,2821,46.2,Counties
Municipalities,24882,6931,5988,6252,25.1,5769,5170,5350,85.6,883,543,625,10,279,275,277,4.4,Municipalities
,,,,,,,,,,,,,,,,,,
Kentucky,238745,25915,23603,24763,10.4,10110,9257,9645,38.9,7351,6512,6944,28,8454,7834,8174,33,Kentucky
State,85277,12119,11937,12044,14.1,2122,2116,2119,17.6,5681,5510,5611,46.6,4316,4311,4314,35.8,State
"Local, total",153468,13796,11666,12719,8.3,7988,7141,7526,59.2,1670,1002,1333,10.5,4138,3523,3860,30.3,"Local, total"
Counties,15178,5052,3653,4225,27.8,1533,1302,1389,32.9,830,286,486,11.5,2689,2065,2350,55.6,Counties
Municipalities,31045,8730,7968,8438,27.2,6444,5838,6130,72.6,834,683,808,9.6,1452,1447,1500,17.8,Municipalities
,,,,,,,,,,,,,,,,,,
Louisiana,258081,39246,35400,37437,14.5,18520,16408,17489,46.7,7776,6778,7232,19.3,12950,12214,12716,34,Louisiana
State,76806,9469,9230,9375,12.2,1771,1706,1743,18.6,1758,1694,1714,18.3,5940,5830,5918,63.1,State
"Local, total",181275,29777,26170,28062,15.5,16749,14702,15746,56.1,6018,5084,5518,19.7,7010,6384,6798,24.2,"Local, total"
Parishes,44321,15435,13374,14317,32.3,8180,6997,7460,52.1,2567,2209,2339,16.3,4688,4168,4518,31.6,Parishes
Municipalities,36131,12350,11032,11857,32.8,8255,7477,8004,67.5,2291,1805,2072,17.5,1804,1750,1781,15,Municipalities
,,,,,,,,,,,,,,,,,,
Maine,73005,6405,5494,5897,8.1,3384,2815,3017,51.2,1036,830,959,16.3,1985,1849,1921,32.6,Maine
State,21152,2490,2332,2444,11.6,545,543,544,22.3,776,654,748,30.6,1169,1135,1152,47.1,State
"Local, total",51853,3915,3162,3453,6.7,2839,2272,2473,71.6,260,176,211,6.1,816,714,769,22.3,"Local, total"
Counties,1734,1432,1186,1293,74.6,369,311,332,25.7,247,163,196,15.2,816,712,765,59.2,Counties
Municipalities,15336,1334,1174,1254,8.2,1321,1161,1241,99,13,13,13,1,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
Maryland,300208,45161,42133,43925,14.6,19979,18336,19088,43.5,8721,7946,8489,19.3,16461,15851,16348,37.2,Maryland
State,86943,20305,19277,20103,23.1,2211,2211,2211,11,5218,4740,5116,25.4,12876,12326,12776,63.6,State
"Local, total",213265,24856,22856,23822,11.2,17768,16125,16877,70.8,3503,3206,3373,14.2,3585,3525,3572,15,"Local, total"
Counties,179439,18593,17101,17833,9.9,12226,11077,11598,65,2786,2503,2667,15,3581,3521,3568,20,Counties
Municipalities,31770,6409,5912,6150,19.4,5495,5011,5244,85.3,914,901,906,14.7,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
Massachusetts,320570,42959,39745,40842,12.7,21185,18578,19486,47.7,9690,9216,9365,22.9,12084,11951,11991,29.4,Massachusetts
State,97203,24313,23752,23926,24.6,2842,2820,2828,11.8,9387,8981,9107,38.1,12084,11951,11991,50.1,State
"Local, total",223367,18646,15993,16916,7.6,18343,15758,16658,98.5,303,235,258,1.5,0,0,0,0,"Local, total"
Counties,1133,16,16,17,1.5,15,15,16,94.1,1,1,1,5.9,0,0,0,0,Counties
Municipalities,157911,14567,12788,13574,8.6,14272,12559,13315,98.1,295,229,259,1.9,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
Michigan,434055,52842,47346,49886,11.5,22351,18960,20271,40.6,11223,10163,10739,21.5,19268,18223,18876,37.8,Michigan
State,142960,17211,16924,17146,12,2482,2447,2467,14.4,1434,1380,1416,8.3,13295,13097,13263,77.4,State
"Local, total",291095,35631,30422,32740,11.2,19869,16513,17804,54.4,9789,8783,9323,28.5,5973,5126,5613,17.1,"Local, total"
Counties,52712,19544,16939,18146,34.4,5858,4736,5096,28.1,7797,7134,7511,41.4,5889,5069,5539,30.5,Counties
Municipalities,51249,14380,12193,13160,25.7,13042,11155,11971,91,1296,1014,1155,8.8,42,24,34,0.3,Municipalities
,,,,,,,,,,,,,,,,,,
Minnesota,278728,28371,25206,26815,9.6,12848,11352,11921,44.5,6319,5394,5975,22.3,9204,8460,8919,33.3,Minnesota
State,80739,8853,8156,8659,10.7,934,900,921,10.6,3770,3251,3612,41.7,4149,4005,4126,47.6,State
"Local, total",197989,19518,17050,18156,9.2,11914,10452,11000,60.6,2549,2143,2363,13,5055,4455,4793,26.4,"Local, total"
Counties,34424,10672,9231,9925,28.8,3381,2933,3076,31,2246,1854,2072,20.9,5045,4444,4777,48.1,Counties
Municipalities,37046,8696,7694,8083,21.8,8404,7413,7795,96.4,292,281,288,3.6,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
Mississippi,193401,19823,17208,18125,9.4,10764,9154,9764,53.9,3392,2685,2877,15.9,5667,5369,5484,30.3,Mississippi
State,57846,5241,5216,5231,9,1238,1235,1236,23.6,751,743,745,14.2,3252,3238,3250,62.1,State
"Local, total",135555,14582,11992,12894,9.5,9526,7919,8528,66.1,2641,1942,2132,16.5,2415,2131,2234,17.3,"Local, total"
Counties,28804,7809,6229,6731,23.4,3550,2775,3035,45.1,1923,1397,1543,22.9,2336,2057,2153,32,Counties
Municipalities,22952,6347,5393,5735,25,5546,4759,5064,88.3,705,542,578,10.1,96,92,93,1.6,Municipalities
,,,,,,,,,,,,,,,,,,
Missouri,317128,43259,40040,41356,13,19301,17844,18435,44.6,8515,7264,7787,18.8,15443,14932,15134,36.6,Missouri
State,86712,19000,18393,18747,21.6,2511,2378,2472,13.2,4310,3991,4188,22.3,12179,12024,12087,64.5,State
"Local, total",230416,24259,21647,22609,9.8,16790,15466,15963,70.6,4205,3273,3599,15.9,3264,2908,3047,13.5,"Local, total"
Counties,21669,9399,8216,8609,39.7,4036,3679,3800,44.1,2965,2432,2606,30.3,2398,2105,2203,25.6,Counties
Municipalities,51009,15172,13769,14258,28,12681,11712,12063,84.6,1565,1180,1293,9.1,926,877,902,6.3,Municipalities
,,,,,,,,,,,,,,,,,,
Montana,57205,6478,5806,6125,10.7,2673,2446,2558,41.8,1818,1446,1614,26.4,1987,1914,1953,31.9,Montana
State,20799,2513,2371,2453,11.8,480,446,469,19.1,755,662,710,28.9,1278,1263,1274,51.9,State
"Local, total",36406,3965,3435,3672,10.1,2193,2000,2089,56.9,1063,784,904,24.6,709,651,679,18.5,"Local, total"
Counties,6919,2532,2133,2292,33.1,1015,880,927,40.4,812,608,694,30.3,705,645,671,29.3,Counties
Municipalities,5410,1456,1309,1371,25.3,1189,1124,1155,84.2,258,177,206,15,9,8,10,0.7,Municipalities
,,,,,,,,,,,,,,,,,,
Nebraska,119121,11845,10916,11269,9.5,5241,4767,4952,43.9,2136,1892,1972,17.5,4468,4257,4345,38.6,Nebraska
State,31976,4448,4319,4377,13.7,777,768,774,17.7,770,725,741,16.9,2901,2826,2862,65.4,State
"Local, total",87145,7397,6597,6892,7.9,4464,3999,4178,60.6,1366,1167,1231,17.9,1567,1431,1483,21.5,"Local, total"
Counties,13014,4235,3720,3887,29.9,1390,1196,1250,32.2,1276,1092,1155,29.7,1569,1432,1482,38.1,Counties
Municipalities,13860,3239,2873,3010,21.7,3130,2777,2911,96.7,109,96,99,3.3,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
Nevada,107064,18153,16794,17222,16.1,8504,7554,7791,45.2,3749,3504,3640,21.1,5900,5736,5791,33.6,Nevada
State,27233,5258,5193,5209,19.1,890,887,888,17,750,739,741,14.2,3618,3567,3580,68.7,State
"Local, total",79831,12895,11601,12013,15,7614,6667,6903,57.5,2999,2765,2899,24.1,2282,2169,2211,18.4,"Local, total"
Counties,25115,9996,8918,9411,37.5,5757,5118,5360,57,2342,2148,2274,24.2,1897,1652,1777,18.9,Counties
Municipalities,9476,3169,2775,2932,30.9,1982,1644,1778,60.6,653,611,628,21.4,534,520,526,17.9,Municipalities
,,,,,,,,,,,,,,,,,,
New Hampshire,69282,7523,6062,6710,9.7,4253,3430,3763,56.1,1344,871,1066,15.9,1926,1761,1881,28,New Hampshire
State,18556,2559,2164,2371,12.8,514,474,491,20.7,902,640,756,31.9,1143,1050,1124,47.4,State
"Local, total",50726,4964,3898,4339,8.6,3739,2956,3272,75.4,442,231,310,7.1,783,711,757,17.4,"Local, total"
Counties,4297,1593,1155,1315,30.6,430,267,310,23.6,380,177,249,18.9,783,711,756,57.5,Counties
Municipalities,21670,1615,1362,1467,6.8,1574,1325,1427,97.3,41,37,40,2.7,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
New Jersey,481229,72650,63731,67640,14.1,36012,29263,32402,47.9,21269,19226,19929,29.5,15369,15242,15309,22.6,New Jersey
State,144475,25934,25646,25795,17.9,3792,3742,3768,14.6,13112,12891,13004,50.4,9030,9013,9023,35,State
"Local, total",336754,46716,38085,41845,12.4,32220,25521,28634,68.4,8157,6335,6925,16.5,6339,6229,6286,15,"Local, total"
Counties,88239,15771,15059,15617,17.7,5034,4805,4992,32,4811,4436,4746,30.4,5926,5818,5879,37.6,Counties
Municipalities,63733,16418,12581,14095,22.1,14780,11621,13013,92.3,1638,960,1082,7.7,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
New Mexico,123518,15788,15154,15430,12.5,6046,5677,5817,37.7,3636,3454,3531,22.9,6106,6023,6082,39.4,New Mexico
State,44666,7230,7131,7192,16.1,505,505,505,7,3073,3008,3044,42.3,3652,3618,3643,50.7,State
"Local, total",78852,8558,8023,8238,10.4,5541,5172,5312,64.5,563,446,487,5.9,2454,2405,2439,29.6,"Local, total"
Counties,10723,4379,4227,4295,40.1,1738,1670,1692,39.4,200,165,179,4.2,2441,2392,2424,56.4,Counties
Municipalities,17281,4195,3801,3936,22.8,3811,3505,3618,91.9,369,281,303,7.7,15,15,15,0.4,Municipalities
,,,,,,,,,,,,,,,,,,
New York,1174992,176847,161817,168001,14.3,89537,80690,84627,50.4,34194,29053,30755,18.3,53116,52074,52619,31.3,New York
State,239452,54466,53513,54165,22.6,5806,5685,5782,10.7,18955,18424,18801,34.7,29705,29404,29582,54.6,State
"Local, total",935540,122381,108304,113836,12.2,83731,75005,78845,69.3,15239,10629,11954,10.5,23411,22670,23037,20.2,"Local, total"
Counties,111621,30600,25554,27354,24.5,13421,10946,11969,43.8,5729,3803,4301,15.7,11450,10805,11084,40.5,Counties
Municipalities,672137,86273,79461,82739,12.3,66271,61041,63649,76.9,7797,6303,6899,8.3,12205,12117,12191,14.7,Municipalities
,,,,,,,,,,,,,,,,,,
North Carolina,549713,62995,59931,60941,11.1,28620,26779,27495,45.1,7726,7056,7163,11.8,26649,26096,26283,43.1,North Carolina
State,145421,31173,30503,30536,21,3505,3495,3499,11.5,6739,6272,6293,20.6,20929,20736,20744,67.9,State
"Local, total",404292,31822,29428,30405,7.5,25115,23284,23996,78.9,987,784,870,2.9,5720,5360,5539,18.2,"Local, total"
Counties,314888,17347,15728,16436,5.2,11031,9932,10389,63.2,832,644,720,4.4,5484,5152,5327,32.4,Counties
Municipalities,54738,14201,13479,13879,25.4,13780,13099,13486,97.2,153,139,146,1.1,268,241,247,1.8,Municipalities
,,,,,,,,,,,,,,,,,,
North Dakota,45208,4189,3703,3839,8.5,1694,1594,1622,42.3,1016,806,845,22,1479,1303,1372,35.7,North Dakota
State,19238,1691,1557,1604,8.3,199,195,198,12.3,616,566,576,35.9,876,796,830,51.7,State
"Local, total",25970,2498,2146,2235,8.6,1495,1399,1424,63.7,400,240,269,12,603,507,542,24.3,"Local, total"
Counties,4026,1383,1201,1261,31.3,536,494,500,39.7,245,201,221,17.5,602,506,540,42.8,Counties
Municipalities,4477,1115,941,970,21.7,960,902,919,94.7,155,39,51,5.3,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
Ohio,587243,76786,68264,71679,12.2,33639,28682,30622,42.7,21423,18507,19653,27.4,21724,21075,21404,29.9,Ohio
State,137045,19147,18575,18837,13.7,2614,2606,2614,13.9,3288,2751,2984,15.8,13245,13218,13239,70.3,State
"Local, total",450198,57639,49689,52842,11.7,31025,26076,28008,53,18135,15756,16669,31.5,8479,7857,8165,15.5,"Local, total"
Counties,84827,27148,24746,25889,30.5,7615,6749,7257,28,12372,11244,11680,45.1,7161,6753,6952,26.9,Counties
Municipalities,83040,26520,21612,23761,28.6,21009,17375,19065,80.2,4809,3710,4087,17.2,702,527,609,2.6,Municipalities
,,,,,,,,,,,,,,,,,,
Oklahoma,210521,23098,21352,21950,10.4,11739,10724,11103,50.6,4744,4183,4322,19.7,6615,6445,6525,29.7,Oklahoma
State,67837,9481,9226,9343,13.8,1947,1864,1910,20.4,2840,2730,2777,29.7,4694,4632,4656,49.8,State
"Local, total",142684,13617,12126,12607,8.8,9792,8860,9193,72.9,1904,1453,1545,12.3,1921,1813,1869,14.8,"Local, total"
Counties,16769,5580,4861,5071,30.2,2552,2140,2257,44.5,1219,1017,1059,20.9,1809,1704,1755,34.6,Counties
Municipalities,34801,8017,7270,7542,21.7,7216,6695,6921,91.8,686,463,508,6.7,115,112,113,1.5,Municipalities
,,,,,,,,,,,,,,,,,,
Oregon,189998,22739,21052,21712,11.4,9262,8631,8861,40.8,4805,4311,4524,20.8,8672,8110,8327,38.4,Oregon
State,66229,9607,9130,9325,14.1,1465,1280,1334,14.3,2991,2834,2923,31.3,5151,5016,5068,54.3,State
"Local, total",123769,13132,11922,12387,10,7797,7351,7527,60.8,1814,1477,1601,12.9,3521,3094,3259,26.3,"Local, total"
Counties,19738,7621,6683,7032,35.6,2695,2417,2522,35.9,1432,1199,1281,18.2,3494,3067,3229,45.9,Counties
Municipalities,21308,5495,5223,5318,25,5097,4929,4990,93.8,379,275,309,5.8,19,19,19,0.4,Municipalities
,,,,,,,,,,,,,,,,,,
Pennsylvania,568830,88186,76385,81092,14.3,37577,28865,32198,39.7,18651,17183,17746,21.9,31958,30337,31148,38.4,Pennsylvania
State,159018,28621,27587,27999,17.6,6778,6461,6562,23.4,3053,3053,3053,10.9,18790,18073,18384,65.7,State
"Local, total",409812,59565,48798,53093,13,30799,22404,25636,48.3,15598,14130,14693,27.7,13168,12264,12764,24,"Local, total"
